"TOA5","BOWDOIN-1","CR1000","16188","CR1000.Std.15","CPU:SENSORKETTE-1-2014.CR1","11029","All"
"TIMESTAMP","RECORD","BatV","PTemp","res(1)","res(2)","res(3)","res(4)","res(5)"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2015-06-17 02:10:00",31462,13.61,14.75,"",""," 51,  262240, -127039, 9999, 9999, 9999, 19.075326, -0.409424,  -287  "," 64, -225857,  247972, 9999, 9999, 9999, 13.829671, -2.244385, -2650  ","  2, -242545,   79153, -225, 3714,  455,  1.981201, -3.498291, -4051  "
"2015-06-17 02:20:00",31463,13.61,13.59,"","",""," 64, -225900,  247999, 9999, 9999, 9999, 13.821298, -2.224365, -2650  ","  2, -242578,   79182, -224, 3712,  455,  1.981354,  -3.47876, -4064  "
"2015-06-17 02:30:00",31464,13.62,12.51,"",""," 51,  262247, -127061, 9999, 9999, 9999,  19.07166, -0.409424,  -279  "," 64, -225823,  247967, 9999, 9999, 9999, 13.782039, -2.244385, -2659  ","  2, -242533,   79150, -221, 3714,  454,  1.979536, -3.498291, -4056  "
"2015-06-17 02:40:00",31465,13.6,11.54,"","",""," 64, -225869,  247987, 9999, 9999, 9999, 13.790706, -2.244385, -2650  ","  2, -242573,   79175, -220, 3716,  457,   1.97908, -3.498291, -4051  "
"2015-06-17 02:50:00",31466,13.59,10.67,"",""," 51,  262265, -127085, 9999, 9999, 9999, 19.074357, -0.390137,  -275  "," 64, -225922,  248018, 9999, 9999, 9999, 13.815696, -2.224365, -2646  ","  2, -242558,   79204, -219, 3712,  461,  1.980751, -3.498291, -4060  "
"2015-06-17 03:00:00",31467,13.62,9.88,"",""," 51,  262279, -127091, 9999, 9999, 9999, 19.073244, -0.409424,  -275  "," 64, -225886,  248034, 9999, 9999, 9999, 13.789764, -2.244385, -2641  ","  2, -242589,   79207, -219, 3715,  461,  1.978752, -3.459473, -4060  "
"2015-06-17 03:10:00",31468,13.59,9.21,"",""," 51,  262272, -127036, 9999, 9999, 9999, 19.075223, -0.409424,  -275  "," 64, -225886,  248020, 9999, 9999, 9999, 13.784708, -2.244385, -2650  ","  2, -242567,   79186, -219, 3714,  464,  1.980801, -3.459473, -4051  "
"2015-06-17 03:20:00",31469,13.6,8.59,"",""," 51,  262283, -127073, 9999, 9999, 9999,  19.07411, -0.390137,  -283  "," 64, -225936,  248068, 9999, 9999, 9999,  13.80656, -2.263672, -2646  ","  2, -242584,   79168, -219, 3718,  461,  1.982832,  -3.47876, -4056  "
"2015-06-17 03:30:00",31470,13.59,8.02,"",""," 51,  262292, -127097, 9999, 9999, 9999,   19.0753, -0.409424,  -275  "," 64, -225917,  248086, 9999, 9999, 9999, 13.785026, -2.224365, -2646  ","  2, -242601,   79166, -222, 3717,  459,  1.979048, -3.498291, -4060  "
"2015-06-17 03:40:00",31471,13.57,7.575,"",""," 51,  262285, -127086, 9999, 9999, 9999, 19.077789, -0.428467,  -279  "," 64, -225895,  248035, 9999, 9999, 9999, 13.772413, -2.224365, -2650  ","  2, -242623,   79165, -221, 3718,  459,  1.980989, -3.537598, -4051  "
"2015-06-17 03:50:00",31472,13.59,7.268,"",""," 51,  262334, -127076, 9999, 9999, 9999, 19.071859, -0.390137,  -283  "," 64, -225980,  248130, 9999, 9999, 9999, 13.794063, -2.244385, -2641  ","  2, -242565,   79219, -220, 3716,  459,    1.9767, -3.459473, -4056  "
"2015-06-17 04:00:00",31473,13.59,7.028,"",""," 51,  262341, -127077, 9999, 9999, 9999, 19.073141, -0.409424,  -283  "," 64, -225965,  248113, 9999, 9999, 9999, 13.820156, -2.283691, -2646  ","  2, -242593,   79218, -221, 3719,  457,  1.985851, -3.517822, -4051  "
"2015-06-17 04:10:00",31474,13.59,6.787,"",""," 51,  262299, -127100, 9999, 9999, 9999, 19.077386, -0.409424,  -283  "," 64, -225939,  248096, 9999, 9999, 9999, 13.813377, -2.244385, -2654  ","  2, -242633,   79216, -220, 3717,  456,  1.978672,  -3.47876, -4051  "
"2015-06-17 04:20:00",31475,13.6,6.57,"",""," 51,  262340, -127117, 9999, 9999, 9999, 19.075296, -0.390137,  -283  "," 64, -226020,  248096, 9999, 9999, 9999, 13.785966, -2.263672, -2650  ","  2, -242618,   79195, -220, 3718,  458,  1.979113, -3.498291, -4051  "
"2015-06-17 04:30:00",31476,13.58,6.351,"",""," 51,  262343, -127093, 9999, 9999, 9999, 19.075315, -0.390137,  -283  "," 64, -225993,  248144, 9999, 9999, 9999,  13.81602, -2.283691, -2650  ","  2, -242647,   79249, -222, 3719,  455,  1.982237, -3.498291, -4047  "
"2015-06-17 04:40:00",31477,13.6,6.113,"",""," 51,  262370, -127125, 9999, 9999, 9999, 19.076734, -0.390137,  -279  "," 64, -225997,  248153, 9999, 9999, 9999, 13.791334, -2.224365, -2646  ","  2, -242614,   79180, -219, 3719,  451,  1.977943, -3.459473, -4051  "
"2015-06-17 04:50:00",31478,13.58,5.917,"",""," 51,  262322, -127121, 9999, 9999, 9999, 19.078397, -0.409424,  -279  "," 64, -226062,  248149, 9999, 9999, 9999, 13.822868, -2.224365, -2654  ","  2, -242637,   79198, -222, 3721,  451,  1.978085, -3.498291, -4051  "
"2015-06-17 05:00:00",31479,13.58,5.722,"",""," 51,  262312, -127108, 9999, 9999, 9999, 19.081022, -0.390137,  -275  "," 64, -226097,  248150, 9999, 9999, 9999, 13.768243, -2.224365, -2654  ","  2, -242606,   79263, -218, 3721,  451,  1.978971, -3.498291, -4047  "
"2015-06-17 05:10:00",31480,13.6,5.548,"",""," 51,  262358, -127134, 9999, 9999, 9999, 19.076974, -0.390137,  -270  "," 64, -226033,  248089, 9999, 9999, 9999, 13.794662, -2.263672, -2650  ","  2, -242621,   79207, -219, 3721,  452,  1.980873, -3.498291, -4060  "
"2015-06-17 05:20:00",31481,13.57,5.44,"",""," 51,  262366, -127146, 9999, 9999, 9999, 19.080865, -0.390137,  -287  "," 64, -226073,  248192, 9999, 9999, 9999,   13.7796, -2.224365, -2654  ","  2, -242642,   79212, -217, 3722,  450,  1.977802,  -3.47876, -4056  "
"2015-06-17 05:30:00",31482,13.59,5.334,"",""," 51,  262344, -127125, 9999, 9999, 9999, 19.082456, -0.409424,  -283  "," 64, -226039,  248170, 9999, 9999, 9999, 13.815504, -2.263672, -2650  ","  2, -242628,   79241, -219, 3721,  450,  1.978266, -3.459473, -4047  "
"2015-06-17 05:40:00",31483,13.57,5.203,"",""," 51,  262361, -127125, 9999, 9999, 9999, 19.083116, -0.409424,  -283  "," 64, -226116,  248247, 9999, 9999, 9999, 13.796516, -2.263672, -2654  ","  2, -242639,   79231, -218, 3717,  450,  1.982424, -3.498291, -4051  "
"2015-06-17 05:50:00",31484,13.59,5.051,"",""," 51,  262367, -127105, 9999, 9999, 9999, 19.087934, -0.390137,  -287  "," 64, -226080,  248260, 9999, 9999, 9999, 13.772764, -2.224365, -2654  ","  2, -242616,   79220, -217, 3718,  450,  1.980793,  -3.47876, -4051  "
"2015-06-17 06:00:00",31485,13.56,4.859,"",""," 51,  262398, -127123, 9999, 9999, 9999,  19.09342, -0.390137,  -283  "," 64, -226094,  248213, 9999, 9999, 9999, 13.725889,  -2.26123, -2646  ","  2, -242645,   79227, -218, 3716,  450,  1.980793,  -3.47876, -4064  "
"2015-06-17 06:10:00",31486,13.58,4.622,"",""," 51,  262369, -127103, 9999, 9999, 9999, 19.096227, -0.409424,  -283  "," 64, -226126,  248307, 9999, 9999, 9999,  13.78556, -2.244385, -2654  ","  2, -242670,   79254, -218, 3719,  449,  1.980299, -3.498291, -4051  "
"2015-06-17 06:20:00",31487,13.56,4.342,"",""," 51,  262372, -127115, 9999, 9999, 9999, 19.101495, -0.409424,  -275  "," 64, -226116,  248311, 9999, 9999, 9999, 13.749223, -2.224365, -2650  ","  2, -242658,   79237, -221, 3720,  448,  1.981297,  -3.47876, -4051  "
"2015-06-17 06:30:00",31488,13.58,4.107,"",""," 51,  262405, -127132, 9999, 9999, 9999, 19.102512, -0.428467,  -279  "," 64, -226125,  248307, 9999, 9999, 9999, 13.780971, -2.244385, -2650  ","  2, -242637,   79292, -220, 3717,  449,  1.980793,  -3.47876, -4060  "
"2015-06-17 06:40:00",31489,13.56,3.827,"",""," 51,  262421, -127153, 9999, 9999, 9999, 19.105844, -0.390137,  -283  "," 64, -226195,  248311, 9999, 9999, 9999, 13.759298, -2.204834, -2641  ","  2, -242638,   79256, -223, 3719,  448,  1.985407, -3.498291, -4047  "
"2015-06-17 06:50:00",31490,13.59,3.569,"",""," 51,  262413, -127156, 9999, 9999, 9999, 19.114313, -0.409424,  -283  "," 64, -226177,  248289, 9999, 9999, 9999, 13.760126, -2.244385, -2659  ","  2, -242646,   79259, -217, 3720,  449,  1.980827,  -3.47876, -4064  "
"2015-06-17 07:00:00",31491,13.56,3.357,"",""," 51,  262421, -127134, 9999, 9999, 9999,  19.11684, -0.428467,  -279  "," 64, -226195,  248243, 9999, 9999, 9999, 13.890817, -2.244385, -2663  ","  2, -242697,   79276, -215, 3716,  451,  1.978672,  -3.47876, -4047  "
"2015-06-17 07:10:00",31492,13.57,3.185,"",""," 51,  262390, -127194, 9999, 9999, 9999, 19.117959, -0.409424,  -283  "," 64, -226238,  248266, 9999, 9999, 9999, 13.884191, -2.244385, -2646  ","  2, -242690,   79258, -214, 3719,  453,  1.979717,  -3.47876, -4060  "
"2015-06-17 07:20:00",31493,13.57,3.014,"",""," 51,  262411, -127174, 9999, 9999, 9999, 19.122663, -0.409424,  -283  "," 64, -226212,  248283, 9999, 9999, 9999, 13.904079, -2.244385, -2646  ","  2, -242677,   79292, -212, 3717,  453,   1.98184, -3.498291, -4051  "
"2015-06-17 07:30:00",31494,13.58,2.907,"","",""," 64, -226251,  248296, 9999, 9999, 9999,  13.88079, -2.244385, -2650  ","  2, -242681,   79274, -216, 3719,  449,   1.98484,  -3.47876, -4047  "
"2015-06-17 07:40:00",31495,13.57,2.801,"",""," 51,  262450, -127172, 9999, 9999, 9999, 19.124628, -0.409424,  -283  "," 64, -226213,  248316, 9999, 9999, 9999, 13.879566, -2.244385, -2654  ","  2, -242699,   79307, -215, 3722,  448,  1.985624, -3.517822, -4051  "
"2015-06-17 07:50:00",31496,13.58,2.715,"",""," 51,  262489, -127152, 9999, 9999, 9999,  19.12668, -0.409424,  -279  "," 64, -226215,  248359, 9999, 9999, 9999, 13.911504, -2.224365, -2654  ","  2, -242683,   79286, -217, 3716,  446,  1.984798, -3.498291, -4056  "
"2015-06-17 08:00:00",31497,13.55,2.63,"","",""," 64, -226207,  248434, 9999, 9999, 9999, 13.912406, -2.244385, -2641  ","  2, -242684,   79291, -217, 3720,  445,  1.982912,  -3.47876, -4056  "
"2015-06-17 08:10:00",31498,13.56,2.609,"",""," 51,  262461, -127193, 9999, 9999, 9999, 19.127202, -0.409424,  -275  "," 64, -226286,  248384, 9999, 9999, 9999,  13.89698, -2.244385, -2650  ","  2, -242714,   79267, -216, 3718,  443,  1.985466,  -3.47876, -4064  "
"2015-06-17 08:20:00",31499,13.56,2.758,"",""," 51,  262463, -127212, 9999, 9999, 9999, 19.128293, -0.390137,  -283  "," 64, -226334,  248389, 9999, 9999, 9999, 13.869047, -2.283691, -2650  ","  2, -242723,   79291, -213, 3719,  443,  1.980312,  -3.47876, -4056  "
"2015-06-17 08:30:00",31500,13.57,3.122,"",""," 51,  262479, -127201, 9999, 9999, 9999, 19.130212, -0.409424,  -275  "," 64, -226289,  248268, 9999, 9999, 9999, 13.895544, -2.244385, -2650  ","  2, -242732,   79330, -216, 3718,  442,  1.984074, -3.498291, -4060  "
"2015-06-17 08:40:00",31501,13.58,3.655,"",""," 51,  262501, -127188, 9999, 9999, 9999, 19.128229, -0.390137,  -275  "," 64, -226302,  248367, 9999, 9999, 9999, 13.852855, -2.224365, -2650  ","  2, -242688,   79269, -219, 3721,  443,  1.987055,  -3.47876, -4056  "
"2015-06-17 08:50:00",31502,13.58,4.279,"",""," 51,  262464, -127192, 9999, 9999, 9999, 19.128084, -0.390137,  -283  "," 64, -226314,  248436, 9999, 9999, 9999,  13.88651, -2.204834, -2650  ","  2, -242727,   79306, -220, 3718,  442,  1.985897, -3.498291, -4051  "
"2015-06-17 09:00:00",31503,13.58,4.923,"",""," 51,  262501, -127222, 9999, 9999, 9999,  19.12668, -0.409424,  -287  "," 64, -226378,  248495, 9999, 9999, 9999, 13.878826, -2.263672, -2650  ","  2, -242737,   79280, -216, 3719,  440,  1.982883, -3.498291, -4060  "
"2015-06-17 09:10:00",31504,13.57,5.657,"",""," 51,  262484, -127212, 9999, 9999, 9999, 19.115001, -0.428467,  -279  "," 64, -226338,  248479, 9999, 9999, 9999, 13.861322, -2.224365, -2650  ","  2, -242719,   79305, -215, 3720,  442,  1.981117, -3.498291, -4060  "
"2015-06-17 09:20:00",31505,13.56,6.416,"",""," 51,  262491, -127226, 9999, 9999, 9999, 19.107744, -0.390137,  -275  "," 64, -226398,  248405, 9999, 9999, 9999,  13.85289, -2.224365, -2654  ","  2, -242677,   79335, -217, 3717,  443,  1.980762,  -3.47876, -4056  "
"2015-06-17 09:30:00",31506,13.59,7.225,"",""," 51,  262475, -127237, 9999, 9999, 9999, 19.107805, -0.390137,  -283  "," 64, -226349,  248463, 9999, 9999, 9999, 13.876932, -2.263672, -2641  ","  2, -242755,   79342, -218, 3719,  444,  1.981836, -3.498291, -4056  "
"2015-06-17 09:40:00",31507,13.58,8.04,"",""," 51,  262523, -127235, 9999, 9999, 9999, 19.098005, -0.409424,  -275  "," 64, -226413,  248448, 9999, 9999, 9999, 13.835952, -2.224365, -2641  ","  2, -242741,   79337, -219, 3717,  443,  1.981821, -3.517822, -4043  "
"2015-06-17 09:50:00",31508,13.59,8.83,"",""," 51,  262545, -127230, 9999, 9999, 9999, 19.104814, -0.370361,  -279  "," 64, -226348,  248470, 9999, 9999, 9999, 13.854974, -2.224365, -2650  ","  2, -242727,   79331, -219, 3719,  443,  1.983108,  -3.47876, -4060  "
"2015-06-17 10:00:00",31509,13.58,9.57,"",""," 51,  262537, -127252, 9999, 9999, 9999, 19.104104, -0.409424,  -279  "," 64, -226412,  248487, 9999, 9999, 9999, 13.831384, -2.244385, -2646  ","  2, -242721,   79386, -220, 3719,  440,  1.983274, -3.537598, -4051  "
"2015-06-17 10:10:00",31510,13.6,10.29,"","",""," 64, -226417,  248527, 9999, 9999, 9999, 13.854974, -2.224365, -2646  ","  2, -242780,   79354, -219, 3721,  437,  1.983376,  -3.47876, -4051  "
"2015-06-17 10:20:00",31511,13.57,10.93,"","",""," 64, -226430,  248516, 9999, 9999, 9999, 13.839271, -2.263672, -2650  ","  2, -242750,   79346, -216, 3724,  437,  1.983377,  -3.47876, -4051  "
"2015-06-17 10:30:00",31512,13.58,11.61,"",""," 51,  262534, -127280, 9999, 9999, 9999, 19.107961, -0.390137,  -275  "," 64, -226481,  248562, 9999, 9999, 9999, 13.856687, -2.244385, -2650  ","  2, -242758,   79356, -214, 3722,  437,  1.978672,  -3.47876, -4060  "
"2015-06-17 10:40:00",31513,13.58,12.26,"",""," 51,  262580, -127270, 9999, 9999, 9999,  19.11606, -0.390137,  -292  "," 64, -226450,  248510, 9999, 9999, 9999, 13.823217, -2.224365, -2659  ","  2, -242774,   79363, -218, 3720,  437,  1.984138, -3.517822, -4064  "
"2015-06-17 10:50:00",31514,13.59,12.88,"",""," 51,  262590, -127262, 9999, 9999, 9999, 19.120391, -0.428467,  -275  "," 64, -226532,  248528, 9999, 9999, 9999, 13.855262, -2.244385, -2646  ","  2, -242784,   79342, -218, 3721,  439,  1.987461, -3.498291, -4060  "
"2015-06-17 11:00:00",31515,13.59,13.52,"",""," 51,  262575, -127270, 9999, 9999, 9999,  19.11355, -0.370361,  -283  "," 64, -226556,  248557, 9999, 9999, 9999, 13.827901, -2.244385, -2654  ","  2, -242788,   79343, -218, 3722,  438,  1.984627, -3.459473, -4051  "
"2015-06-17 11:10:00",31516,13.59,14.09,"",""," 51,  262604, -127265, 9999, 9999, 9999, 19.111246, -0.409424,  -283  "," 64, -226520,  248573, 9999, 9999, 9999, 13.802083, -2.224365, -2659  ","  2, -242765,   79366, -218, 3722,  440,  1.982914,  -3.47876, -4064  "
"2015-06-17 11:20:00",31517,13.59,14.68,"",""," 51,  262623, -127294, 9999, 9999, 9999, 19.105749, -0.390137,  -283  "," 64, -226644,  248679, 9999, 9999, 9999, 13.831308, -2.204834, -2659  ","  2, -242805,   79383, -218, 3718,  439,  1.985464,  -3.47876, -4056  "
"2015-06-17 11:30:00",31518,13.59,15.31,"",""," 51,  262605, -127275, 9999, 9999, 9999, 19.105297, -0.428467,  -287  "," 64, -226581,  248662, 9999, 9999, 9999, 13.827964, -2.244385, -2641  ","  2, -242741,   79417, -216, 3720,  439,  1.985416, -3.498291, -4043  "
"2015-06-17 11:40:00",31519,13.6,16,"",""," 51,  262674, -127298, 9999, 9999, 9999, 19.103479, -0.390137,  -275  "," 64, -226666,  248626, 9999, 9999, 9999, 13.836336, -2.244385, -2646  ","  2, -242787,   79423, -218, 3723,  437,  1.987688, -3.498291, -4060  "
"2015-06-17 11:50:00",31520,13.6,16.69,"",""," 51,  262644, -127294, 9999, 9999, 9999, 19.102903, -0.390137,  -283  "," 64, -226665,  248655, 9999, 9999, 9999, 13.800281, -2.244385, -2659  ","  2, -242793,   79402, -221, 3723,  439,  1.989241,  -3.47876, -4056  "
"2015-06-17 12:00:00",31521,13.6,17.41,"",""," 51,  262611, -127328, 9999, 9999, 9999, 19.103693, -0.390137,  -283  "," 64, -226565,  248744, 9999, 9999, 9999, 13.818515, -2.244385, -2650  ","  2, -242811,   79379, -225, 3719,  437,  1.989548, -3.498291, -4056  "
"2015-06-17 12:10:00",31522,13.59,18.2,"",""," 51,  262639, -127314, 9999, 9999, 9999, 19.093858, -0.409424,  -279  "," 64, -226598,  248634, 9999, 9999, 9999, 13.789346, -2.224365, -2650  ","  2, -242808,   79389, -224, 3714,  435,  1.985996, -3.498291, -4056  "
"2015-06-17 12:20:00",31523,13.6,19.02,"",""," 51,  262624, -127325, 9999, 9999, 9999, 19.096788, -0.409424,  -287  "," 64, -226698,  248673, 9999, 9999, 9999, 13.825754, -2.244385, -2659  ","  2, -242793,   79403, -222, 3718,  436,  1.987474,  -3.47876, -4056  "
"2015-06-17 12:30:00",31524,13.6,19.84,"",""," 51,  262635, -127310, 9999, 9999, 9999, 19.101957, -0.409424,  -275  "," 64, -226644,  248722, 9999, 9999, 9999, 13.780282, -2.224365, -2654  ","  2, -242767,   79387, -223, 3717,  435,  1.984968,  -3.47876, -4056  "
"2015-06-17 12:40:00",31525,13.6,20.58,"",""," 51,  262678, -127328, 9999, 9999, 9999, 19.105821, -0.409424,  -279  "," 64, -226650,  248751, 9999, 9999, 9999, 13.799522, -2.204834, -2650  ","  2, -242808,   79388, -221, 3716,  431,  1.986156,  -3.47876, -4056  "
"2015-06-17 12:50:00",31526,13.61,21.29,"",""," 51,  262661, -127310, 9999, 9999, 9999, 19.102659, -0.409424,  -287  "," 64, -226672,  248680, 9999, 9999, 9999, 13.778886, -2.244385, -2654  ","  2, -242827,   79395, -221, 3719,  431,  1.987127,  -3.47876, -4051  "
"2015-06-17 13:00:00",31527,13.62,21.95,"",""," 51,  262709, -127372, 9999, 9999, 9999, 19.109357, -0.390137,  -283  "," 64, -226701,  248689, 9999, 9999, 9999, 13.782653, -2.244385, -2650  ","  2, -242815,   79395, -222, 3713,  433,  1.986746, -3.459473, -4068  "
"2015-06-17 13:10:00",31528,13.61,22.61,"",""," 51,  262684, -127347, 9999, 9999, 9999, 19.109888, -0.390137,  -283  "," 64, -226752,  248773, 9999, 9999, 9999, 13.804582, -2.244385, -2654  ","  2, -242807,   79417, -223, 3715,  433,  1.985002,  -3.47876, -4047  "
"2015-06-17 13:20:00",31529,13.62,23.41,"",""," 51,  262694, -127348, 9999, 9999, 9999, 19.110273, -0.409424,  -283  "," 64, -226760,  248732, 9999, 9999, 9999, 13.756031, -2.263672, -2650  ","  2, -242817,   79410, -224, 3713,  432,  1.983013,  -3.47876, -4051  "
"2015-06-17 13:30:00",31530,13.61,24.22,"",""," 51,  262697, -127335, 9999, 9999, 9999, 19.112291, -0.409424,  -279  "," 64, -226764,  248733, 9999, 9999, 9999, 13.767196, -2.224365, -2659  ","  2, -242847,   79404, -223, 3711,  431,  1.987087,  -3.47876, -4056  "
"2015-06-17 13:40:00",31531,13.62,25.07,"",""," 51,  262698, -127346, 9999, 9999, 9999,  19.11588, -0.409424,  -279  "," 64, -226742,  248725, 9999, 9999, 9999,  13.75134, -2.224365, -2650  ","  2, -242829,   79401, -225, 3713,  432,  1.986671, -3.459473, -4056  "
"2015-06-17 13:50:00",31532,13.61,25.95,"",""," 51,  262704, -127355, 9999, 9999, 9999,  19.12045, -0.409424,  -279  "," 64, -226767,  248849, 9999, 9999, 9999,  13.76818, -2.224365, -2650  ","  2, -242857,   79435, -226, 3707,  437,  1.985495, -3.498291, -4056  "
"2015-06-17 14:00:00",31533,13.61,26.84,"",""," 51,  262723, -127361, 9999, 9999, 9999, 19.114599, -0.390137,  -279  "," 64, -226817,  248750, 9999, 9999, 9999, 13.776643, -2.224365, -2650  ","  2, -242854,   79397, -223, 3706,  437,   1.98756, -3.498291, -4051  "
"2015-06-17 14:10:00",31534,13.62,27.72,"",""," 51,  262701, -127341, 9999, 9999, 9999, 19.114278, -0.409424,  -279  "," 64, -226829,  248800, 9999, 9999, 9999, 13.764364, -2.244385, -2659  ","  2, -242876,   79416, -219, 3709,  438,  1.985147, -3.459473, -4060  "
"2015-06-17 14:20:00",31535,13.62,28.53,"",""," 51,  262693, -127345, 9999, 9999, 9999, 19.106287, -0.409424,  -262  "," 64, -226784,  248834, 9999, 9999, 9999, 13.761413, -2.204834, -2654  ","  2, -242838,   79410, -223, 3715,  436,  1.986126, -3.459473, -4056  "
"2015-06-17 14:30:00",31536,13.62,29.22,"",""," 51,  262690, -127363, 9999, 9999, 9999, 19.106092, -0.409424,  -279  "," 64, -226741,  248784, 9999, 9999, 9999, 13.740167, -2.300781, -2641  ","  2, -242877,   79448, -224, 3716,  434,  1.985704, -3.498291, -4056  "
"2015-06-17 14:40:00",31537,13.63,29.85,"",""," 51,  262736, -127400, 9999, 9999, 9999, 19.106418, -0.428467,  -279  "," 64, -226828,  248844, 9999, 9999, 9999, 13.785594, -2.244385, -2654  ","  2, -242845,   79416, -224, 3716,  431,  1.985243,  -3.47876, -4056  "
"2015-06-17 14:50:00",31538,13.65,30.5,"",""," 51,  262750, -127332, 9999, 9999, 9999, 19.103139, -0.390137,  -287  "," 64, -226854,  248843, 9999, 9999, 9999, 13.792354, -2.263672, -2650  ","  2, -242871,   79430, -229, 3716,  430,  1.981022,  -3.47876, -4056  "
"2015-06-17 15:00:00",31539,13.65,31.09,"",""," 51,  262739, -127404, 9999, 9999, 9999, 19.097936, -0.409424,  -275  "," 64, -226835,  248796, 9999, 9999, 9999, 13.740592, -2.224365, -2663  ","  2, -242840,   79404, -230, 3712,  433,  1.984653, -3.459473, -4056  "
"2015-06-17 15:10:00",31540,13.65,31.76,"",""," 51,  262745, -127400, 9999, 9999, 9999, 19.093793, -0.409424,  -279  "," 64, -226868,  248910, 9999, 9999, 9999,  13.77453, -2.224365, -2659  ","  2, -242909,   79437, -231, 3709,  432,  1.981232, -3.498291, -4051  "
"2015-06-17 15:20:00",31541,13.64,32.44,"",""," 51,  262756, -127427, 9999, 9999, 9999, 19.085607, -0.409424,  -283  "," 64, -226819,  248870, 9999, 9999, 9999, 13.780881, -2.224365, -2654  ","  2, -242889,   79419, -231, 3709,  433,  1.984899, -3.498291, -4056  "
"2015-06-17 15:30:00",31542,13.64,33.1,"",""," 51,  262745, -127396, 9999, 9999, 9999,  19.07884, -0.409424,  -279  "," 64, -226869,  248861, 9999, 9999, 9999, 13.825565, -2.244385, -2650  ","  2, -242872,   79450, -229, 3708,  431,  1.983793, -3.517822, -4051  "
"2015-06-17 15:40:00",31543,13.64,33.73,"",""," 51,  262760, -127423, 9999, 9999, 9999, 19.073606, -0.390137,  -283  "," 64, -226888,  248849, 9999, 9999, 9999,  13.85324, -2.244385, -2663  ","  2, -242862,   79462, -233, 3721,  431,  1.984337, -3.459473, -4060  "
"2015-06-17 15:50:00",31544,13.65,34.31,"",""," 51,  262748, -127397, 9999, 9999, 9999,  19.06711, -0.409424,  -275  "," 64, -226894,  248928, 9999, 9999, 9999,  13.89409, -2.263672, -2659  ","  2, -242886,   79487, -236, 3715,  431,   1.98535, -3.537598, -4056  "
"2015-06-17 16:00:00",31545,13.65,34.85,"",""," 51,  262767, -127401, 9999, 9999, 9999, 19.062524, -0.390137,  -279  "," 64, -226958,  248941, 9999, 9999, 9999, 13.882972, -2.244385, -2663  ","  2, -242874,   79472, -233, 3720,  439,  1.987871, -3.517822, -4056  "
"2015-06-17 16:10:00",31546,13.65,35.2,"",""," 51,  262785, -127422, 9999, 9999, 9999, 19.063444, -0.409424,  -270  "," 64, -226927,  248945, 9999, 9999, 9999, 13.885026, -2.244385, -2650  ","  2, -242851,   79454, -225, 3710,  454,  1.985441, -3.498291, -4047  "
"2015-06-17 16:20:00",31547,13.64,35.36,"",""," 51,  262798, -127439, 9999, 9999, 9999, 19.052312, -0.390137,  -279  "," 64, -226922,  248906, 9999, 9999, 9999, 13.885026, -2.244385, -2659  ","  2, -242895,   79473, -218, 3706,  457,  1.987089,  -3.47876, -4064  "
"2015-06-17 16:30:00",31548,13.65,35.44,"",""," 51,  262758, -127396, 9999, 9999, 9999, 19.052186, -0.409424,  -279  "," 64, -226939,  248841, 9999, 9999, 9999, 13.899629, -2.244385, -2659  ","  2, -242915,   79477, -210, 3705,  456,   1.98332, -3.498291, -4056  "
"2015-06-17 16:40:00",31549,13.65,35.63,"",""," 51,  262772, -127457, 9999, 9999, 9999, 19.048517, -0.409424,  -283  "," 64, -226912,  248919, 9999, 9999, 9999, 13.883069, -2.244385, -2654  ","  2, -242925,   79448, -211, 3699,  451,  1.980419, -3.459473, -4056  "
"2015-06-17 16:50:00",31550,13.65,35.87,"",""," 51,  262784, -127442, 9999, 9999, 9999, 19.044328, -0.390137,  -283  "," 64, -226988,  248957, 9999, 9999, 9999,  13.85573, -2.263672, -2654  ","  2, -242888,   79463, -211, 3702,  453,  1.984934,  -3.47876, -4051  "
"2015-06-17 17:00:00",31551,13.65,36,"",""," 51,  262799, -127431, 9999, 9999, 9999, 19.048547, -0.409424,  -283  "," 64, -226947,  248968, 9999, 9999, 9999, 13.881649, -2.283691, -2646  ","  2, -242908,   79448, -214, 3706,  452,  1.982946,  -3.47876, -4056  "
"2015-06-17 17:10:00",31552,13.66,35.92,"",""," 51,  262818, -127473, 9999, 9999, 9999, 19.042097, -0.390137,  -279  "," 64, -226981,  248971, 9999, 9999, 9999, 13.874753, -2.263672, -2646  ","  2, -242931,   79483, -214, 3701,  455,  1.983259, -3.517822, -4060  "
"2015-06-17 17:20:00",31553,13.65,36.04,"",""," 51,  262862, -127442, 9999, 9999, 9999, 19.046962, -0.428467,  -279  "," 64, -227015,  248939, 9999, 9999, 9999,   13.8719, -2.263672, -2667  ","  2, -242886,   79508, -216, 3704,  458,  1.983982,  -3.47876, -4060  "
"2015-06-17 17:30:00",31554,13.66,36.4,"",""," 51,  262823, -127479, 9999, 9999, 9999, 19.046556, -0.409424,  -287  "," 64, -227001,  248999, 9999, 9999, 9999, 13.884962, -2.244385, -2654  ","  2, -242911,   79453, -216, 3710,  454,  1.983538,  -3.47876, -4068  "
