"TOA5","BOWDOIN-1","CR1000","16188","CR1000.Std.15","CPU:SENSORKETTE-1-2014.CR1","11029","All"
"TIMESTAMP","RECORD","BatV","PTemp","res(1)","res(2)","res(3)","res(4)","res(5)"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2015-05-13 07:10:00",26452,13.56,-2.72,"",""," 51,  236326, -111289, 9999, 9999, 9999, 20.336801,  -0.41333,  -279  "," 64, -173292,  206431, 9999, 9999, 9999, 13.381183, -2.241211, -2637  ","  2, -226538,   66500, -203, 3728,  435,  2.108374, -3.498291, -4081  "
"2015-05-13 07:20:00",26453,13.55,-2.655,"",""," 51,  236343, -111304, 9999, 9999, 9999,  20.33542,  -0.41333,  -266  "," 64, -173231,  206388, 9999, 9999, 9999, 13.461605, -2.241211, -2654  ","  2, -226565,   66527, -204, 3727,  432,   2.11511, -3.517822, -4081  "
"2015-05-13 07:30:00",26454,13.56,-2.635,"",""," 51,  236338, -111291, 9999, 9999, 9999, 20.335451,  -0.41333,  -270  "," 64, -173254,  206446, 9999, 9999, 9999, 13.479269,  -2.22168, -2646  ","  2, -226577,   66507, -208, 3728,  434,  2.107885, -3.517822, -4073  "
"2015-05-13 07:40:00",26455,13.55,-2.592,"",""," 51,  236388, -111340, 9999, 9999, 9999, 20.329141,  -0.41333,  -275  "," 64, -173326,  206381, 9999, 9999, 9999, 13.472187, -2.241211, -2654  ","  2, -226584,   66517, -207, 3726,  433,  2.108541, -3.498291, -4086  "
"2015-05-13 07:50:00",26456,13.57,-2.569,"",""," 51,  236342, -111318, 9999, 9999, 9999, 20.332117,  -0.41333,  -279  "," 64, -173284,  206401, 9999, 9999, 9999, 13.470008,  -2.22168, -2646  ","  2, -226560,   66531, -205, 3726,  432,  2.108948, -3.517822, -4081  "
"2015-05-13 08:00:00",26457,13.55,-2.506,"","",""," 64, -173398,  206541, 9999, 9999, 9999, 13.461671, -2.241211, -2641  ","  2, -226613,   66504, -211, 3723,  430,  2.109827, -3.556885, -4077  "
"2015-05-13 08:10:00",26458,13.54,-2.442,"",""," 51,  236361, -111340, 9999, 9999, 9999, 20.327291,  -0.41333,  -279  "," 64, -173345,  206481, 9999, 9999, 9999, 13.461502, -2.241211, -2650  ","  2, -226570,   66511, -208, 3728,  429,  2.109297, -3.537598, -4081  "
"2015-05-13 08:20:00",26459,13.56,-2.357,"",""," 51,  236370, -111333, 9999, 9999, 9999, 20.325929,  -0.41333,  -266  "," 64, -173299,  206445, 9999, 9999, 9999, 13.446746, -2.241211, -2659  ","  2, -226567,   66504, -206, 3728,  430,  2.107838, -3.517822, -4081  "
"2015-05-13 08:30:00",26460,13.56,-2.248,"",""," 51,  236368, -111335, 9999, 9999, 9999, 20.327505,  -0.41333,  -275  "," 64, -173361,  206461, 9999, 9999, 9999, 13.432474,  -2.26123, -2637  ","  2, -226568,   66537, -208, 3727,  427,  2.110043, -3.517822, -4090  "
"2015-05-13 08:40:00",26461,13.57,-2.142,"",""," 51,  236361, -111335, 9999, 9999, 9999, 20.329658, -0.432373,  -279  "," 64, -173312,  206470, 9999, 9999, 9999,  13.42143, -2.241211, -2654  ","  2, -226590,   66535, -210, 3724,  431,   2.10844, -3.498291, -4090  "
"2015-05-13 08:50:00",26462,13.55,-1.993,"",""," 51,  236388, -111348, 9999, 9999, 9999, 20.325105,  -0.41333,  -262  "," 64, -173393,  206469, 9999, 9999, 9999, 13.410854, -2.241211, -2646  ","  2, -226610,   66522, -212, 3726,  430,  2.108816, -3.517822, -4081  "
"2015-05-13 09:00:00",26463,13.56,-1.864,"",""," 51,  236402, -111315, 9999, 9999, 9999, 20.323541,  -0.41333,  -283  "," 64, -173358,  206437, 9999, 9999, 9999, 13.401313,  -2.22168, -2650  ","  2, -226595,   66555, -213, 3730,  428,  2.109093, -3.537598, -4081  "
"2015-05-13 09:10:00",26464,13.55,-1.758,"",""," 51,  236346, -111295, 9999, 9999, 9999, 20.324796,  -0.41333,  -266  "," 64, -173430,  206583, 9999, 9999, 9999, 13.386014, -2.241211, -2646  ","  2, -226570,   66535, -211, 3726,  429,  2.110462, -3.498291, -4081  "
"2015-05-13 09:20:00",26465,13.55,-1.629,"",""," 51,  236373, -111372, 9999, 9999, 9999, 20.321071, -0.432373,  -275  "," 64, -173400,  206503, 9999, 9999, 9999, 13.380533, -2.241211, -2654  ","  2, -226607,   66577, -213, 3728,  431,  2.109011, -3.498291, -4077  "
"2015-05-13 09:30:00",26466,13.55,-1.543,"",""," 51,  236370, -111332, 9999, 9999, 9999, 20.319005,  -0.41333,  -279  "," 64, -173434,  206531, 9999, 9999, 9999, 13.362134, -2.241211, -2646  ","  2, -226592,   66523, -215, 3728,  429,  2.106615, -3.498291, -4081  "
"2015-05-13 09:40:00",26467,13.56,-1.48,"",""," 51,  236425, -111338, 9999, 9999, 9999, 20.321504,  -0.41333,  -262  "," 64, -173447,  206526, 9999, 9999, 9999,  13.35847,  -2.26123, -2659  ","  2, -226619,   66551, -211, 3726,  429,  2.109064, -3.537598, -4077  "
"2015-05-13 09:50:00",26468,13.57,-1.437,"","",""," 64, -173446,  206521, 9999, 9999, 9999, 13.349365, -2.241211, -2646  ","  2, -226617,   66547, -210, 3727,  428,  2.110432, -3.498291, -4073  "
"2015-05-13 10:00:00",26469,13.56,-1.394,"",""," 51,  236416, -111350, 9999, 9999, 9999, 20.317359, -0.432373,  -270  "," 64, -173499,  206516, 9999, 9999, 9999, 13.337388,  -2.22168, -2641  ","  2, -226588,   66555, -210, 3732,  427,  2.109804, -3.517822, -4086  "
"2015-05-13 10:10:00",26470,13.54,-1.331,"","",""," 64, -173429,  206500, 9999, 9999, 9999,  13.32586, -2.241211, -2646  ","  2, -226630,   66556, -209, 3728,  428,  2.109571, -3.537598, -4081  "
"2015-05-13 10:20:00",26471,13.55,-1.225,"",""," 51,  236412, -111367, 9999, 9999, 9999, 20.313243, -0.432373,  -270  "," 64, -173454,  206558, 9999, 9999, 9999, 13.312511,  -2.22168, -2646  ","  2, -226622,   66586, -205, 3727,  426,  2.111095, -3.537598, -4090  "
"2015-05-13 10:30:00",26472,13.54,-1.076,"","",""," 64, -173474,  206593, 9999, 9999, 9999, 13.306219,  -2.22168, -2650  ","  2, -226626,   66570, -203, 3730,  432,  2.108677, -3.517822, -4077  "
"2015-05-13 10:40:00",26473,13.56,-0.884,"",""," 51,  236429, -111381, 9999, 9999, 9999,  20.31154, -0.394043,  -262  "," 64, -173491,  206584, 9999, 9999, 9999, 13.301675,  -2.20166, -2646  ","  2, -226624,   66545, -212, 3732,  428,  2.110762, -3.498291, -4081  "
"2015-05-13 10:50:00",26474,13.55,-0.671,"",""," 51,  236427, -111384, 9999, 9999, 9999, 20.310308,  -0.41333,  -270  "," 64, -173462,  206579, 9999, 9999, 9999, 13.291732,  -2.22168, -2659  ","  2, -226585,   66560, -218, 3729,  429,   2.10923, -3.537598, -4086  "
"2015-05-13 11:00:00",26475,13.56,-0.542,"",""," 51,  236421, -111365, 9999, 9999, 9999, 20.309745, -0.432373,  -266  "," 64, -173445,  206579, 9999, 9999, 9999,  13.28162, -2.241211, -2646  ","  2, -226651,   66589, -211, 3722,  428,  2.110964, -3.517822, -4086  "
"2015-05-13 11:10:00",26476,13.55,-0.436,"",""," 51,  236468, -111386, 9999, 9999, 9999, 20.308153, -0.394043,  -275  "," 64, -173512,  206594, 9999, 9999, 9999, 13.271032, -2.241211, -2637  ","  2, -226613,   66547, -209, 3725,  430,  2.109558, -3.556885, -4077  "
"2015-05-13 11:20:00",26477,13.55,-0.33,"",""," 51,  236442, -111363, 9999, 9999, 9999, 20.306226, -0.394043,  -275  "," 64, -173512,  206619, 9999, 9999, 9999, 13.262538, -2.241211, -2641  ","  2, -226664,   66573, -205, 3726,  431,  2.111265, -3.537598, -4077  "
"2015-05-13 11:30:00",26478,13.55,-0.138,"",""," 51,  236454, -111388, 9999, 9999, 9999, 20.308244, -0.394043,  -279  "," 64, -173500,  206519, 9999, 9999, 9999, 13.252447,  -2.22168, -2650  ","  2, -226626,   66576, -207, 3729,  430,   2.10923, -3.537598, -4086  "
"2015-05-13 11:40:00",26479,13.55,0.117,"",""," 51,  236475, -111395, 9999, 9999, 9999, 20.305053, -0.432373,  -266  "," 64, -173560,  206602, 9999, 9999, 9999, 13.239538, -2.241211, -2646  ","  2, -226648,   66598, -209, 3735,  427,  2.109045, -3.517822, -4090  "
"2015-05-13 11:50:00",26480,13.55,0.458,"",""," 51,  236470, -111369, 9999, 9999, 9999, 20.306669,  -0.41333,  -270  "," 64, -173559,  206611, 9999, 9999, 9999, 13.235044, -2.241211, -2654  ","  2, -226608,   66562, -207, 3731,  427,  2.110903, -3.517822, -4081  "
"2015-05-13 12:00:00",26481,13.56,1.032,"",""," 51,  236447, -111403, 9999, 9999, 9999,  20.30256,  -0.41333,  -270  "," 64, -173585,  206579, 9999, 9999, 9999,  13.22787,  -2.20166, -2650  ","  2, -226628,   66580, -209, 3738,  421,  2.109665, -3.498291, -4073  "
"2015-05-13 12:10:00",26482,13.55,1.904,"",""," 51,  236510, -111385, 9999, 9999, 9999, 20.307077, -0.394043,  -275  "," 64, -173553,  206617, 9999, 9999, 9999, 13.216001,  -2.22168, -2650  ","  2, -226659,   66588, -211, 3732,  422,  2.109165, -3.537598, -4068  "
"2015-05-13 12:20:00",26483,13.56,2.844,"",""," 51,  236482, -111368, 9999, 9999, 9999, 20.307079, -0.432373,  -257  "," 64, -173573,  206600, 9999, 9999, 9999, 13.208784,  -2.20166, -2654  ","  2, -226650,   66611, -208, 3730,  423,  2.110559, -3.517822, -4081  "
"2015-05-13 12:30:00",26484,13.57,3.678,"",""," 51,  236508, -111389, 9999, 9999, 9999, 20.306135,  -0.41333,  -275  "," 64, -173597,  206644, 9999, 9999, 9999, 13.203289, -2.241211, -2646  ","  2, -226680,   66604, -210, 3730,  421,  2.107807, -3.517822, -4077  "
"2015-05-13 12:40:00",26485,13.56,4.493,"",""," 51,  236467, -111405, 9999, 9999, 9999, 20.307378, -0.394043,  -270  "," 64, -173612,  206677, 9999, 9999, 9999, 13.197246, -2.278076, -2641  ","  2, -226630,   66612, -209, 3728,  418,  2.112646, -3.498291, -4086  "
"2015-05-13 12:50:00",26486,13.57,5.548,"",""," 51,  236475, -111363, 9999, 9999, 9999, 20.304349, -0.394043,  -270  "," 64, -173573,  206648, 9999, 9999, 9999, 13.190134, -2.258057, -2650  ","  2, -226664,   66574, -208, 3726,  420,  2.111723, -3.498291, -4073  "
"2015-05-13 13:00:00",26487,13.56,6.33,"","",""," 64, -173600,  206691, 9999, 9999, 9999, 13.336223,  -2.22168, -2646  ","  2, -226674,   66606, -207, 3726,  420,  2.108881, -3.517822, -4073  "
"2015-05-13 13:10:00",26488,13.57,6.678,"",""," 51,  236513, -111398, 9999, 9999, 9999, 20.306638,  -0.41333,  -262  "," 64, -173605,  206592, 9999, 9999, 9999, 13.366298, -2.241211, -2659  ","  2, -226654,   66610, -209, 3728,  419,  2.108538, -3.498291, -4077  "
"2015-05-13 13:20:00",26489,13.58,6.656,"",""," 51,  236496, -111427, 9999, 9999, 9999, 20.308443,  -0.41333,  -275  "," 64, -173580,  206674, 9999, 9999, 9999, 13.368011,  -2.22168, -2646  ","  2, -226674,   66619, -214, 3726,  417,  2.109129, -3.517822, -4077  "
"2015-05-13 13:30:00",26490,13.56,6.613,"",""," 51,  236573, -111402, 9999, 9999, 9999, 20.304765,  -0.41333,  -270  "," 64, -173621,  206697, 9999, 9999, 9999, 13.367115, -2.241211, -2641  ","  2, -226661,   66623, -214, 3724,  417,  2.109388, -3.517822, -4064  "
"2015-05-13 13:40:00",26491,13.56,6.809,"",""," 51,  236518, -111387, 9999, 9999, 9999, 20.309804, -0.394043,  -266  "," 64, -173651,  206687, 9999, 9999, 9999, 13.357421,  -2.22168, -2650  ","  2, -226684,   66609, -216, 3722,  420,   2.10677, -3.517822, -4077  "
"2015-05-13 13:50:00",26492,13.57,7.706,"",""," 51,  236505, -111399, 9999, 9999, 9999, 20.304994,  -0.41333,  -275  "," 64, -173665,  206651, 9999, 9999, 9999,  13.35531,  -2.22168, -2641  ","  2, -226701,   66633, -217, 3723,  418,  2.110111, -3.498291, -4077  "
"2015-05-13 14:00:00",26493,13.58,9.08,"","",""," 64, -173682,  206670, 9999, 9999, 9999, 13.354463, -2.241211, -2641  ","  2, -226715,   66617, -215, 3721,  415,  2.108337, -3.517822, -4077  "
"2015-05-13 14:10:00",26494,13.57,10.81,"",""," 51,  236521, -111401, 9999, 9999, 9999, 20.310369, -0.394043,  -266  "," 64, -173669,  206768, 9999, 9999, 9999, 13.348958,  -2.22168, -2641  ","  2, -226677,   66606, -215, 3714,  411,  2.105562, -3.517822, -4081  "
"2015-05-13 14:20:00",26495,13.58,12.39,"",""," 51,  236547, -111447, 9999, 9999, 9999, 20.313322,  -0.41333,  -266  "," 64, -173626,  206675, 9999, 9999, 9999,  13.34424,  -2.20166, -2646  ","  2, -226687,   66608, -209, 3713,  416,  2.108469, -3.498291, -4081  "
"2015-05-13 14:30:00",26496,13.58,13.54,"",""," 51,  236511, -111415, 9999, 9999, 9999, 20.311191, -0.432373,  -270  "," 64, -173713,  206731, 9999, 9999, 9999, 13.334072,  -2.22168, -2654  ","  2, -226710,   66620, -211, 3720,  419,  2.109388, -3.537598, -4081  "
"2015-05-13 14:40:00",26497,13.59,14.4,"",""," 51,  236505, -111410, 9999, 9999, 9999, 20.318399, -0.394043,  -266  "," 64, -173688,  206694, 9999, 9999, 9999, 13.321842, -2.241211, -2641  ","  2, -226701,   66652, -213, 3724,  423,   2.10844, -3.498291, -4077  "
"2015-05-13 14:50:00",26498,13.59,15.31,"",""," 51,  236556, -111413, 9999, 9999, 9999, 20.316465, -0.394043,  -287  "," 64, -173748,  206664, 9999, 9999, 9999, 13.315988, -2.241211, -2646  ","  2, -226697,   66634, -219, 3723,  420,  2.107813, -3.517822, -4081  "
"2015-05-13 15:00:00",26499,13.59,16.12,"",""," 51,  236514, -111448, 9999, 9999, 9999, 20.318901, -0.432373,  -275  "," 64, -173741,  206781, 9999, 9999, 9999, 13.307483, -2.241211, -2650  ","  2, -226736,   66642, -218, 3719,  429,  2.104641, -3.517822, -4081  "
"2015-05-13 15:10:00",26500,13.59,16.22,"",""," 51,  236551, -111408, 9999, 9999, 9999, 20.316944, -0.432373,  -257  "," 64, -173729,  206737, 9999, 9999, 9999, 13.304906, -2.241211, -2650  ","  2, -226699,   66596, -219, 3713,  434,  2.108374, -3.498291, -4081  "
"2015-05-13 15:20:00",26501,13.59,15.87,"",""," 51,  236557, -111420, 9999, 9999, 9999, 20.318559, -0.394043,  -266  "," 64, -173716,  206751, 9999, 9999, 9999,  13.29528,  -2.22168, -2654  ","  2, -226703,   66674, -220, 3721,  437,  2.108816, -3.517822, -4077  "
"2015-05-13 15:30:00",26502,13.59,15.29,"",""," 51,  236556, -111413, 9999, 9999, 9999,  20.31904,  -0.41333,  -270  "," 64, -173700,  206818, 9999, 9999, 9999, 13.289712,  -2.22168, -2641  ","  2, -226690,   66652, -222, 3724,  436,  2.108913, -3.537598, -4090  "
