"Date Time, GMT+00:00","Abs Pres, kPa"
15/07/19 12:21:06,102.784
15/07/19 12:21:08,102.916
15/07/19 12:21:10,102.363
15/07/19 12:21:12,102.832
15/07/19 12:21:14,102.868
15/07/19 12:21:16,102.339
15/07/19 12:21:18,102.772
15/07/19 12:21:20,102.832
15/07/19 12:21:22,102.339
15/07/19 12:21:24,102.844
15/07/19 12:21:26,102.784
15/07/19 12:21:28,102.339
15/07/19 12:21:30,102.868
15/07/19 12:21:32,102.435
15/07/19 12:21:34,102.555
15/07/19 12:21:36,102.892
15/07/19 12:21:38,102.375
15/07/19 12:21:40,102.772
15/07/19 12:21:42,102.856
15/07/19 12:21:44,102.351
15/07/19 12:21:46,102.868
15/07/19 12:21:48,102.652
15/07/19 12:21:50,102.339
15/07/19 12:21:52,102.904
15/07/19 12:21:54,102.447
15/07/19 12:21:56,102.64
15/07/19 12:21:58,102.844
15/07/19 12:22:00,102.363
15/07/19 12:22:02,102.652
15/07/19 12:22:04,102.519
15/07/19 12:22:06,102.555
15/07/19 12:22:08,102.832
15/07/19 12:22:10,102.387
15/07/19 12:22:12,102.76
15/07/19 12:22:14,102.916
15/07/19 12:22:16,102.363
15/07/19 12:22:18,102.604
15/07/19 12:22:20,102.712
15/07/19 12:22:22,102.435
15/07/19 12:22:24,102.423
15/07/19 12:22:26,102.471
15/07/19 12:22:28,102.832
15/07/19 12:22:30,102.507
15/07/19 12:22:32,102.351
15/07/19 12:22:34,103.096
15/07/19 12:22:36,102.519
15/07/19 12:22:38,102.471
15/07/19 12:22:40,102.832
15/07/19 12:22:42,102.399
15/07/19 12:22:44,102.555
15/07/19 12:22:46,102.592
15/07/19 12:22:48,102.796
15/07/19 12:22:50,102.592
15/07/19 12:22:52,102.327
15/07/19 12:22:54,102.664
15/07/19 12:22:56,102.327
15/07/19 12:22:58,102.724
15/07/19 12:23:00,102.531
15/07/19 12:23:02,102.351
15/07/19 12:23:04,102.844
15/07/19 12:23:06,102.471
15/07/19 12:23:08,102.387
15/07/19 12:23:10,102.808
15/07/19 12:23:12,102.567
