"Date Time GMT+00:00","Abs Pres kPa"
15/07/10 17:10:00,103.204
15/07/10 17:10:02,103.144
15/07/10 17:10:04,103.156
15/07/10 17:10:06,103.18
15/07/10 17:10:08,103.18
15/07/10 17:10:10,103.132
15/07/10 17:10:12,103.144
15/07/10 17:10:14,103.228
15/07/10 17:10:16,103.216
15/07/10 17:10:18,103.168
15/07/10 17:10:20,103.18
15/07/10 17:10:22,103.192
15/07/10 17:10:24,103.18
15/07/10 17:10:26,103.168
15/07/10 17:10:28,103.144
15/07/10 17:10:30,103.144
15/07/10 17:10:32,103.18
15/07/10 17:10:34,103.156
15/07/10 17:10:36,103.156
15/07/10 17:10:38,103.192
15/07/10 17:10:40,103.168
15/07/10 17:10:42,103.168
15/07/10 17:10:44,103.192
15/07/10 17:10:46,103.18
15/07/10 17:10:48,103.156
15/07/10 17:10:50,103.132
15/07/10 17:10:52,103.168
15/07/10 17:10:54,103.204
15/07/10 17:10:56,103.24
15/07/10 17:10:58,103.192
15/07/10 17:11:00,103.156
15/07/10 17:11:02,103.168
15/07/10 17:11:04,103.144
15/07/10 17:11:06,103.168
15/07/10 17:11:08,103.24
15/07/10 17:11:10,103.192
15/07/10 17:11:12,103.132
15/07/10 17:11:14,103.156
15/07/10 17:11:16,103.168
15/07/10 17:11:18,103.144
15/07/10 17:11:20,103.132
15/07/10 17:11:22,103.168
15/07/10 17:11:24,103.216
15/07/10 17:11:26,103.216
15/07/10 17:11:28,103.144
15/07/10 17:11:30,103.096
15/07/10 17:11:32,103.132
15/07/10 17:11:34,103.204
15/07/10 17:11:36,103.216
15/07/10 17:11:38,103.204
15/07/10 17:11:40,103.216
15/07/10 17:11:42,103.204
15/07/10 17:11:44,103.144
15/07/10 17:11:46,103.084
15/07/10 17:11:48,103.132
15/07/10 17:11:50,103.144
15/07/10 17:11:52,103.168
15/07/10 17:11:54,103.264
15/07/10 17:11:56,103.288
15/07/10 17:11:58,103.216
15/07/10 17:12:00,103.156
15/07/10 17:12:02,103.108
15/07/10 17:12:04,103.12
15/07/10 17:12:06,103.156
15/07/10 17:12:08,103.216
15/07/10 17:12:10,103.252
15/07/10 17:12:12,103.204
15/07/10 17:12:14,103.132
15/07/10 17:12:16,103.18
15/07/10 17:12:18,103.216
15/07/10 17:12:20,103.192
15/07/10 17:12:22,103.216
15/07/10 17:12:24,103.216
15/07/10 17:12:26,103.156
15/07/10 17:12:28,103.144
15/07/10 17:12:30,103.18
15/07/10 17:12:32,103.144
15/07/10 17:12:34,103.156
15/07/10 17:12:36,103.24
15/07/10 17:12:38,103.216
15/07/10 17:12:40,103.18
15/07/10 17:12:42,103.204
15/07/10 17:12:44,103.192
15/07/10 17:12:46,103.156
15/07/10 17:12:48,103.168
15/07/10 17:12:50,103.192
15/07/10 17:12:52,103.228
15/07/10 17:12:54,103.24
15/07/10 17:12:56,103.192
15/07/10 17:12:58,103.132
15/07/10 17:13:00,103.108
15/07/10 17:13:02,103.168
15/07/10 17:13:04,103.228
15/07/10 17:13:06,103.264
15/07/10 17:13:08,103.252
15/07/10 17:13:10,103.204
15/07/10 17:13:12,103.18
15/07/10 17:13:14,103.156
15/07/10 17:13:16,103.132
15/07/10 17:13:18,103.192
15/07/10 17:13:20,103.252
15/07/10 17:13:22,103.228
15/07/10 17:13:24,103.204
15/07/10 17:13:26,103.228
15/07/10 17:13:28,103.216
15/07/10 17:13:30,103.156
15/07/10 17:13:32,103.132
15/07/10 17:13:34,103.192
15/07/10 17:13:36,103.228
15/07/10 17:13:38,103.216
15/07/10 17:13:40,103.228
15/07/10 17:13:42,103.228
15/07/10 17:13:44,103.168
15/07/10 17:13:46,103.156
15/07/10 17:13:48,103.18
15/07/10 17:13:50,103.168
15/07/10 17:13:52,103.204
15/07/10 17:13:54,103.264
15/07/10 17:13:56,103.276
15/07/10 17:13:58,103.192
15/07/10 17:14:00,103.132
15/07/10 17:14:02,103.18
15/07/10 17:14:04,103.24
15/07/10 17:14:06,103.24
15/07/10 17:14:08,103.192
15/07/10 17:14:10,103.156
15/07/10 17:14:12,103.228
15/07/10 17:14:14,103.228
15/07/10 17:14:16,103.156
15/07/10 17:14:18,103.192
15/07/10 17:14:20,103.216
15/07/10 17:14:22,103.18
15/07/10 17:14:24,103.228
15/07/10 17:14:26,103.264
15/07/10 17:14:28,103.204
15/07/10 17:14:30,103.156
15/07/10 17:14:32,103.192
15/07/10 17:14:34,103.216
15/07/10 17:14:36,103.216
15/07/10 17:14:38,103.24
15/07/10 17:14:40,103.204
15/07/10 17:14:42,103.144
15/07/10 17:14:44,103.156
15/07/10 17:14:46,103.264
15/07/10 17:14:48,103.276
15/07/10 17:14:50,103.228
15/07/10 17:14:52,103.168
15/07/10 17:14:54,103.168
15/07/10 17:14:56,103.156
15/07/10 17:14:58,103.204
15/07/10 17:15:00,103.24
15/07/10 17:15:02,103.24
15/07/10 17:15:04,103.228
15/07/10 17:15:06,103.216
15/07/10 17:15:08,103.216
15/07/10 17:15:10,103.228
15/07/10 17:15:12,103.18
15/07/10 17:15:14,103.156
15/07/10 17:15:16,103.228
15/07/10 17:15:18,103.264
15/07/10 17:15:20,103.192
15/07/10 17:15:22,103.192
15/07/10 17:15:24,103.24
15/07/10 17:15:26,103.204
15/07/10 17:15:28,103.192
15/07/10 17:15:30,103.252
15/07/10 17:15:32,103.252
15/07/10 17:15:34,103.168
15/07/10 17:15:36,103.168
15/07/10 17:15:38,103.228
15/07/10 17:15:40,103.252
15/07/10 17:15:42,103.252
15/07/10 17:15:44,103.24
15/07/10 17:15:46,103.228
15/07/10 17:15:48,103.216
15/07/10 17:15:50,103.216
15/07/10 17:15:52,103.216
15/07/10 17:15:54,103.216
15/07/10 17:15:56,103.228
15/07/10 17:15:58,103.24
15/07/10 17:16:00,103.264
15/07/10 17:16:02,103.24
15/07/10 17:16:04,103.204
15/07/10 17:16:06,103.216
15/07/10 17:16:08,103.228
15/07/10 17:16:10,103.24
15/07/10 17:16:12,103.24
15/07/10 17:16:14,103.252
15/07/10 17:16:16,103.228
15/07/10 17:16:18,103.216
15/07/10 17:16:20,103.216
15/07/10 17:16:22,103.228
15/07/10 17:16:24,103.288
15/07/10 17:16:26,103.288
15/07/10 17:16:28,103.24
15/07/10 17:16:30,103.204
15/07/10 17:16:32,103.264
15/07/10 17:16:34,103.264
15/07/10 17:16:36,103.216
15/07/10 17:16:38,103.24
15/07/10 17:16:40,103.264
15/07/10 17:16:42,103.24
15/07/10 17:16:44,103.252
15/07/10 17:16:46,103.276
15/07/10 17:16:48,103.252
15/07/10 17:16:50,103.24
15/07/10 17:16:52,103.228
15/07/10 17:16:54,103.24
15/07/10 17:16:56,103.288
15/07/10 17:16:58,103.288
15/07/10 17:17:00,103.276
15/07/10 17:17:02,103.24
15/07/10 17:17:04,103.216
15/07/10 17:17:06,103.228
15/07/10 17:17:08,103.276
15/07/10 17:17:10,103.276
15/07/10 17:17:12,103.264
15/07/10 17:17:14,103.276
15/07/10 17:17:16,103.276
15/07/10 17:17:18,103.252
15/07/10 17:17:20,103.264
15/07/10 17:17:22,103.3
15/07/10 17:17:24,103.288
15/07/10 17:17:26,103.252
15/07/10 17:17:28,103.24
15/07/10 17:17:30,103.276
15/07/10 17:17:32,103.276
15/07/10 17:17:34,103.264
15/07/10 17:17:36,103.288
15/07/10 17:17:38,103.3
15/07/10 17:17:40,103.252
15/07/10 17:17:42,103.264
15/07/10 17:17:44,103.324
15/07/10 17:17:46,103.3
15/07/10 17:17:48,103.252
15/07/10 17:17:50,103.288
15/07/10 17:17:52,103.312
15/07/10 17:17:54,103.264
15/07/10 17:17:56,103.252
15/07/10 17:17:58,103.3
15/07/10 17:18:00,103.312
15/07/10 17:18:02,103.312
15/07/10 17:18:04,103.3
15/07/10 17:18:06,103.228
15/07/10 17:18:08,103.216
15/07/10 17:18:10,103.324
15/07/10 17:18:12,103.324
15/07/10 17:18:14,103.288
15/07/10 17:18:16,103.312
15/07/10 17:18:18,103.312
15/07/10 17:18:20,103.276
15/07/10 17:18:22,103.3
15/07/10 17:18:24,103.324
15/07/10 17:18:26,103.276
15/07/10 17:18:28,103.276
15/07/10 17:18:30,103.3
15/07/10 17:18:32,103.288
15/07/10 17:18:34,103.312
15/07/10 17:18:36,103.336
15/07/10 17:18:38,103.312
15/07/10 17:18:40,103.276
15/07/10 17:18:42,103.288
15/07/10 17:18:44,103.3
15/07/10 17:18:46,103.312
15/07/10 17:18:48,103.348
15/07/10 17:18:50,103.336
15/07/10 17:18:52,103.312
15/07/10 17:18:54,103.264
15/07/10 17:18:56,103.276
15/07/10 17:18:58,103.312
15/07/10 17:19:00,103.348
15/07/10 17:19:02,103.312
15/07/10 17:19:04,103.276
15/07/10 17:19:06,103.312
15/07/10 17:19:08,103.348
15/07/10 17:19:10,103.336
15/07/10 17:19:12,103.312
15/07/10 17:19:14,103.3
15/07/10 17:19:16,103.3
15/07/10 17:19:18,103.312
15/07/10 17:19:20,103.324
15/07/10 17:19:22,103.336
15/07/10 17:19:24,103.336
15/07/10 17:19:26,103.312
15/07/10 17:19:28,103.324
15/07/10 17:19:30,103.336
15/07/10 17:19:32,103.324
15/07/10 17:19:34,103.3
15/07/10 17:19:36,103.348
15/07/10 17:19:38,103.384
15/07/10 17:19:40,103.336
15/07/10 17:19:42,103.3
15/07/10 17:19:44,103.324
15/07/10 17:19:46,103.348
15/07/10 17:19:48,103.3
15/07/10 17:19:50,103.312
15/07/10 17:19:52,103.396
15/07/10 17:19:54,103.408
15/07/10 17:19:56,103.348
15/07/10 17:19:58,103.324
15/07/10 17:20:00,103.324
15/07/10 17:20:02,103.276
15/07/10 17:20:04,103.324
15/07/10 17:20:06,103.384
15/07/10 17:20:08,103.372
15/07/10 17:20:10,103.348
15/07/10 17:20:12,103.36
15/07/10 17:20:14,103.348
15/07/10 17:20:16,103.324
15/07/10 17:20:18,103.312
15/07/10 17:20:20,103.348
15/07/10 17:20:22,103.372
15/07/10 17:20:24,103.36
15/07/10 17:20:26,103.348
15/07/10 17:20:28,103.348
15/07/10 17:20:30,103.336
15/07/10 17:20:32,103.348
15/07/10 17:20:34,103.324
15/07/10 17:20:36,103.312
15/07/10 17:20:38,103.36
15/07/10 17:20:40,103.384
15/07/10 17:20:42,103.372
15/07/10 17:20:44,103.348
15/07/10 17:20:46,103.36
15/07/10 17:20:48,103.372
15/07/10 17:20:50,103.336
15/07/10 17:20:52,103.36
15/07/10 17:20:54,103.408
15/07/10 17:20:56,103.396
15/07/10 17:20:58,103.336
15/07/10 17:21:00,103.348
15/07/10 17:21:02,103.384
15/07/10 17:21:04,103.372
15/07/10 17:21:06,103.36
15/07/10 17:21:08,103.372
15/07/10 17:21:10,103.36
15/07/10 17:21:12,103.36
15/07/10 17:21:14,103.396
15/07/10 17:21:16,103.396
15/07/10 17:21:18,103.36
15/07/10 17:21:20,103.372
15/07/10 17:21:22,103.384
15/07/10 17:21:24,103.372
15/07/10 17:21:26,103.36
15/07/10 17:21:28,103.312
15/07/10 17:21:30,103.348
15/07/10 17:21:32,103.384
15/07/10 17:21:34,103.384
15/07/10 17:21:36,103.348
15/07/10 17:21:38,103.372
15/07/10 17:21:40,103.396
15/07/10 17:21:42,103.372
15/07/10 17:21:44,103.384
15/07/10 17:21:46,103.384
15/07/10 17:21:48,103.372
15/07/10 17:21:50,103.396
15/07/10 17:21:52,103.396
15/07/10 17:21:54,103.396
15/07/10 17:21:56,103.384
15/07/10 17:21:58,103.396
15/07/10 17:22:00,103.396
15/07/10 17:22:02,103.372
15/07/10 17:22:04,103.36
15/07/10 17:22:06,103.384
15/07/10 17:22:08,103.396
15/07/10 17:22:10,103.396
15/07/10 17:22:12,103.384
15/07/10 17:22:14,103.396
15/07/10 17:22:16,103.42
15/07/10 17:22:18,103.384
15/07/10 17:22:20,103.384
15/07/10 17:22:22,103.408
15/07/10 17:22:24,103.384
15/07/10 17:22:26,103.384
15/07/10 17:22:28,103.408
15/07/10 17:22:30,103.408
15/07/10 17:22:32,103.408
15/07/10 17:22:34,103.408
15/07/10 17:22:36,103.408
15/07/10 17:22:38,103.396
15/07/10 17:22:40,103.408
15/07/10 17:22:42,103.42
15/07/10 17:22:44,103.42
15/07/10 17:22:46,103.42
15/07/10 17:22:48,103.408
15/07/10 17:22:50,103.396
15/07/10 17:22:52,103.408
15/07/10 17:22:54,103.396
15/07/10 17:22:56,103.396
