"TOA5","Th-Bowdoin-1","CR1000","3712","CR1000.Std.08","CPU:BOWD-1_THERM-2014.CR1","55207","Therm"
"TIMESTAMP","RECORD","PTemp","Resist(1)","Resist(2)","Resist(3)","Resist(4)","Resist(5)","Resist(6)","Resist(7)","Resist(8)","Resist(9)","Resist(10)","Resist(11)","Resist(12)","Resist(13)","Resist(14)","Resist(15)","Resist(16)","Voltage(1)","Voltage(2)","Voltage(3)","Voltage(4)","Voltage(5)","Voltage(6)","Voltage(7)","Voltage(8)","Voltage(9)","Voltage(10)","Voltage(11)","Voltage(12)","Voltage(13)","Voltage(14)","Voltage(15)","Voltage(16)"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2014-07-23 03:20:00",28,3.42,27.23906,27.42255,27.39312,27.65173,27.54061,27.51105,27.51105,27.52583,27.30498,27.04946,27.1514,27.37841,26.83226,26.89724,24.11268,25.57675,-24.11762,-22.44279,-22.71076,-20.36599,-21.3709,-21.63887,-21.63887,-21.50488,-23.51468,-25.85945,-24.92155,-22.84475,-27.86926,-27.26631,-54.39864,-39.79408
"2014-07-23 03:30:00",29,3.4,27.23911,27.42261,27.39317,27.65178,27.54806,27.5111,27.5111,27.52588,27.31238,27.04953,27.15146,27.37846,26.83232,26.89731,23.75554,25.48732,-24.11708,-22.44229,-22.71025,-20.36554,-21.30342,-21.63838,-21.63838,-21.5044,-23.44716,-25.85887,-24.92098,-22.84424,-27.86863,-27.2657,-58.08197,-40.66408
"2014-07-23 03:40:00",30,3.4,27.23912,27.42262,27.39318,27.65179,27.54806,27.51111,27.51111,27.52589,27.31238,27.04953,27.15146,27.38582,26.83233,26.89731,23.7943,25.50108,-24.11704,-22.44225,-22.71021,-20.3655,-21.30338,-21.63834,-21.63834,-21.50436,-23.44712,-25.85883,-24.92094,-22.7772,-27.86858,-27.26565,-57.67992,-40.53003
"2014-07-23 03:50:00",31,3.4,27.23912,27.42998,27.39318,27.65179,27.54806,27.51111,27.51111,27.52589,27.31238,27.04953,27.15146,27.38582,26.83954,26.89731,23.96284,25.57685,-24.11704,-22.37525,-22.71021,-20.3655,-21.30338,-21.63834,-21.63834,-21.50436,-23.44712,-25.85883,-24.92094,-22.7772,-27.80159,-27.26565,-55.93813,-39.79311
"2014-07-23 04:00:00",32,3.377,27.23912,27.42998,27.39318,27.65179,27.54806,27.5185,27.51111,27.52589,27.31238,27.0568,27.15146,27.38582,26.83954,26.89731,24.01491,25.61826,-24.11704,-22.37525,-22.71021,-20.3655,-21.30338,-21.57135,-21.63834,-21.50436,-23.44712,-25.79183,-24.92094,-22.7772,-27.80159,-27.26565,-55.4022,-39.39116
"2014-07-23 04:10:00",33,3.357,27.23912,27.42998,27.39318,27.65179,27.54806,27.5185,27.51111,27.52589,27.31238,27.0568,27.15876,27.38582,26.83954,26.89731,24.0475,25.65283,-24.11704,-22.37525,-22.71021,-20.3655,-21.30338,-21.57135,-21.63834,-21.50436,-23.44712,-25.79183,-24.85395,-22.7772,-27.80159,-27.26565,-55.06724,-39.05621
"2014-07-23 04:20:00",34,3.334,27.23912,27.42998,27.39318,27.65179,27.54806,27.5185,27.51111,27.52589,27.31971,27.0568,27.15876,27.38582,26.83954,26.89731,24.3031,25.68742,-24.11704,-22.37525,-22.71021,-20.3655,-21.30338,-21.57135,-21.63834,-21.50436,-23.38013,-25.79183,-24.85395,-22.7772,-27.80159,-27.26565,-52.45456,-38.72124
"2014-07-23 04:30:00",35,3.292,27.23908,27.42994,27.39313,27.65175,27.54802,27.51846,27.51107,27.52585,27.31967,27.05675,27.15871,27.38578,26.84671,26.89726,24.4814,25.83316,-24.11745,-22.37563,-22.7106,-20.36585,-21.30375,-21.57172,-21.63871,-21.50473,-23.38053,-25.79227,-24.85437,-22.77759,-27.73507,-27.26612,-50.64664,-37.31506
"2014-07-23 04:40:00",36,3.228,27.23912,27.42998,27.39317,27.6592,27.54806,27.51849,27.5111,27.52588,27.31971,27.0568,27.15875,27.39317,26.84675,26.89731,24.76129,25.9099,-24.11708,-22.37529,-22.71025,-20.29854,-21.30342,-21.57139,-21.63838,-21.50439,-23.38017,-25.79187,-24.85399,-22.71025,-27.73464,-27.2657,-47.8322,-36.57757
"2014-07-23 04:50:00",37,3.165,27.2391,27.42996,27.39316,27.65919,27.54805,27.51848,27.51109,27.52587,27.3197,27.05678,27.15874,27.39316,26.84674,26.89729,24.72781,25.90988,-24.1172,-22.3754,-22.71037,-20.29865,-21.30353,-21.5715,-21.63849,-21.50451,-23.38029,-25.79201,-24.85412,-22.71037,-27.73478,-27.26584,-48.16742,-36.57776
"2014-07-23 05:00:00",38,3.099,27.23912,27.42998,27.39318,27.6592,27.54806,27.5185,27.51111,27.52589,27.31971,27.0568,27.15876,27.39318,26.84676,26.89731,24.48811,25.73594,-24.11704,-22.37526,-22.71022,-20.29851,-21.30339,-21.57136,-21.63835,-21.50436,-23.38013,-25.79184,-24.85395,-22.71022,-27.7346,-27.26566,-50.5788,-38.25231
"2014-07-23 05:10:00",39,3.099,27.23912,27.42998,27.39318,27.65921,27.54806,27.5185,27.51111,27.52589,27.31971,27.0568,27.15876,27.39318,26.84676,26.89731,24.33605,25.69435,-24.11704,-22.37525,-22.71021,-20.29851,-21.30338,-21.57135,-21.63834,-21.50436,-23.38013,-25.79183,-24.85395,-22.71021,-27.7346,-27.26565,-52.1196,-38.65425
"2014-07-23 05:20:00",40,3.099,27.2391,27.42996,27.39315,27.65919,27.54804,27.51847,27.51108,27.52586,27.31968,27.05677,27.15873,27.39315,26.84673,26.89728,24.46818,25.83319,-24.1173,-22.37549,-22.71046,-20.29873,-21.30362,-21.57158,-21.63858,-21.50459,-23.38038,-25.79211,-24.85422,-22.71046,-27.73489,-27.26595,-50.78032,-37.31482
"2014-07-23 05:30:00",41,3.057,27.23905,27.42992,27.39311,27.65915,27.5554,27.51843,27.51843,27.53321,27.31965,27.05672,27.15869,27.39311,26.84667,26.89724,24.75448,25.9937,-24.11768,-22.37584,-22.71081,-20.29905,-21.23696,-21.57192,-21.57192,-21.43793,-23.38075,-25.79252,-24.85461,-22.71081,-27.73533,-27.26637,-47.90039,-35.77456
"2014-07-23 05:40:00",42,2.993,27.23888,27.42975,27.39295,27.65901,27.55525,27.51828,27.51089,27.53306,27.31948,27.05655,27.15851,27.39295,26.84648,26.89705,24.71403,25.96547,-24.11923,-22.37729,-22.71228,-20.30035,-21.23832,-21.57331,-21.64031,-21.43932,-23.38225,-25.79418,-24.85621,-22.71228,-27.73712,-27.26813,-48.30546,-36.04485
"2014-07-23 05:50:00",43,2.93,27.23897,27.42983,27.39303,27.65907,27.55532,27.51835,27.51835,27.53313,27.31956,27.05663,27.1586,27.39303,26.8538,26.89714,24.58745,25.91667,-24.11847,-22.37658,-22.71156,-20.29971,-21.23765,-21.57263,-21.57263,-21.43864,-23.38152,-25.79337,-24.85542,-22.71156,-27.66925,-27.26727,-49.57686,-36.51269
"2014-07-23 06:00:00",44,2.887,27.2389,27.42977,27.39297,27.65902,27.55526,27.51829,27.51829,27.53307,27.3195,27.05656,27.15853,27.39297,26.85373,26.89707,24.54078,25.92356,-24.11907,-22.37714,-22.71213,-20.30022,-21.23818,-21.57317,-21.57317,-21.43917,-23.3821,-25.79401,-24.85604,-22.71213,-27.66994,-27.26795,-50.04708,-36.4466
"2014-07-23 06:10:00",45,2.844,27.23873,27.42961,27.3928,27.65887,27.55511,27.51814,27.51814,27.53292,27.31933,27.05638,27.15835,27.3928,26.85352,26.89687,24.44098,25.89537,-24.12069,-22.37864,-22.71365,-20.30158,-21.2396,-21.57462,-21.57462,-21.44061,-23.38367,-25.79573,-24.85771,-22.71365,-27.67179,-27.26978,-51.05545,-36.71704
"2014-07-23 06:20:00",46,2.822,27.23144,27.42964,27.39283,27.65889,27.55513,27.51816,27.51816,27.53294,27.31935,27.05641,27.15838,27.39283,26.85355,26.8969,24.71379,25.96527,-24.18744,-22.37841,-22.71342,-20.30137,-21.23939,-21.5744,-21.5744,-21.44039,-23.38343,-25.79547,-24.85746,-22.71342,-27.67151,-27.2695,-48.30789,-36.04666
"2014-07-23 06:30:00",47,2.801,27.23874,27.42963,27.39282,27.65889,27.55512,27.51816,27.51816,27.53294,27.32668,27.0564,27.15837,27.40018,26.85355,26.89689,24.90162,26.03531,-24.1205,-22.37846,-22.71347,-20.30142,-21.23944,-21.57444,-21.57444,-21.44044,-23.31648,-25.79553,-24.85751,-22.64647,-27.67157,-27.26956,-46.43196,-35.37673
"2014-07-23 06:40:00",48,2.758,27.23874,27.42962,27.39282,27.65888,27.55512,27.51815,27.51815,27.53293,27.32668,27.05639,27.16566,27.40018,26.85354,26.89689,24.86125,26.07038,-24.12054,-22.3785,-22.71351,-20.30146,-21.23948,-21.57449,-21.57449,-21.44048,-23.31652,-25.79558,-24.79056,-22.64651,-27.67162,-27.26961,-46.83405,-35.04179
"2014-07-23 06:50:00",49,2.715,27.23889,27.42976,27.39295,27.65901,27.55525,27.51828,27.51828,27.53306,27.32682,27.05655,27.16581,27.40031,26.85371,26.89705,24.79438,26.02849,-24.11922,-22.37728,-22.71227,-20.30035,-21.23832,-21.57331,-21.57331,-21.43931,-23.31525,-25.79417,-24.7892,-22.64527,-27.67011,-27.26812,-47.50147,-35.44186
"2014-07-23 07:00:00",50,2.695,27.23877,27.42965,27.39285,27.65891,27.55515,27.51818,27.51818,27.53296,27.32671,27.05643,27.16569,27.4002,26.85358,26.89692,24.62038,26.02133,-24.12025,-22.37823,-22.71324,-20.30121,-21.23922,-21.57422,-21.57422,-21.44022,-23.31624,-25.79527,-24.79026,-22.64623,-27.67129,-27.26928,-49.24551,-35.51037
"2014-07-23 07:10:00",51,2.672,27.23874,27.42962,27.39282,27.65888,27.55512,27.51815,27.51815,27.53293,27.32668,27.05639,27.16566,27.40018,26.85354,26.89689,24.55377,25.96526,-24.12054,-22.3785,-22.71351,-20.30146,-21.23948,-21.57449,-21.57449,-21.44048,-23.31652,-25.79558,-24.79056,-22.64651,-27.67162,-27.26961,-49.91612,-36.04681
"2014-07-23 07:20:00",52,2.672,27.23873,27.42962,27.39281,27.65887,27.55511,27.51814,27.51814,27.53292,27.32668,27.05639,27.16565,27.40017,26.85353,26.89688,24.47412,25.88841,-24.12061,-22.37856,-22.71357,-20.30151,-21.23953,-21.57454,-21.57454,-21.44054,-23.31659,-25.79565,-24.79062,-22.64657,-27.6717,-27.26969,-50.72028,-36.78392
"2014-07-23 07:30:00",53,2.652,27.23875,27.42964,27.39283,27.65889,27.55513,27.51816,27.51816,27.53294,27.3267,27.05641,27.15838,27.40018,26.85355,26.8969,24.52058,25.88146,-24.12043,-22.3784,-22.7134,-20.30136,-21.23938,-21.57438,-21.57438,-21.44038,-23.31641,-25.79546,-24.85744,-22.6464,-27.67149,-27.26948,-50.25089,-36.85065
"2014-07-23 07:40:00",54,2.63,27.23884,27.42971,27.3929,27.65896,27.5552,27.51823,27.51823,27.53301,27.32677,27.05649,27.15846,27.40026,26.86087,26.89699,24.50083,25.8537,-24.11968,-22.3777,-22.7127,-20.30073,-21.23872,-21.57371,-21.57371,-21.43971,-23.31569,-25.79466,-24.85667,-22.6457,-27.60363,-27.26864,-50.45033,-37.1175
"2014-07-23 07:50:00",55,2.609,27.2387,27.42958,27.39277,27.65884,27.55508,27.51811,27.51811,27.53289,27.32664,27.05635,27.15832,27.40013,26.86071,26.89684,24.50057,25.84653,-24.12095,-22.37888,-22.71389,-20.3018,-21.23984,-21.57485,-21.57485,-21.44085,-23.31692,-25.79602,-24.85798,-22.64689,-27.60509,-27.27007,-50.45299,-37.18647
